Wind,000905.SH,000905.SH,000905.SH,000905.SH,000905.SH
,中证500,中证500,中证500,中证500,中证500
日期,开盘价,最高价,最低价,收盘价,成交量
38558,720.609,720.987,714.684,718.867,577102003
38559,718.623,736.721,718.6,735.861,919136182
38560,736.289,750.093,731.076,750.015,947247844
38561,750.4,755.942,744.022,747.23,1074715208
38562,746.589,748.38,739.396,744.825,705695311
38565,744.771,751.046,742.896,750.488,631794348
38566,750.964,763.29,746.819,763.29,890216702
38567,764.938,781.027,763.865,769.752,1408354965
38568,767.566,769.342,761.362,765.262,866178461
38569,765.39,787.926,765.39,787.819,1249026298
38572,792.401,805.597,790.179,800.117,1536139404
38573,800.837,814.258,794.179,814.186,1401640053
38574,814.763,823.987,804.522,823.839,1520112307
38575,823.72,833.682,820.288,832.841,1646330415
38576,833.462,839.521,811.38,816.386,1764308661
38579,814.842,839.679,814.564,839.667,1262526106
38580,841.322,846.656,830.728,839.264,1551594142
38581,837.896,854.607,823.439,854.526,1679237457
38582,855.879,865.692,819.884,820.664,2133211994
38583,816.96,828.117,803.281,820.869,1386054808
38586,819.478,833.271,817.165,831.496,972441322
38587,830.736,830.736,809.461,816.914,918385115
38588,816.742,826.731,816.608,826.716,884105752
38589,827.014,836.578,821.58,836.418,1037584874
38590,837.41,842.297,830.582,840.431,1188080079
38593,839.305,840.041,826.356,832.248,1078255660
38594,831.492,834.208,827.092,827.55,924203558
38595,827.228,845.15,822.166,845.142,1134994316
38596,845.934,865.405,842.812,865.405,1703406614
38597,866.549,874.157,861.475,872.485,1536554793
38600,873.856,884.396,871.882,884.29,1250419203
38601,885.362,892.216,860.358,862.491,1705090353
38602,860.384,888.181,857.758,888.125,1395759518
38603,890.193,894.739,878.284,889.69,1469915717
38604,889.549,893.827,875.606,879.503,1039946723
38607,878.73,883.561,874.766,883.561,765652323
38608,884.247,904.311,883.458,904.311,1249627241
38609,906.214,915.134,902.562,914.983,1659733385
38610,914.906,920.954,910.767,918.505,1358238477
38611,918.259,918.803,910.841,917.638,1096153231
38614,918.129,930.591,915.927,930.489,1205620878
38615,931.88,931.894,915.137,924.16,1574760592
